class_name,file_name,relative_path,status,fail_stage,fail_reason,laplacian_var,brightness_mean,flag_blur,flag_dark,flag_bright,markers_expected_detected,markers_total_detected,markers_expected_assigned,markers_used_for_transform,detect_variant,selection_mode,transform_kind,transform_inliers,final_gray_path,split
alicate_corte,001.jpg,alicate_corte\001.jpg,ok,,,29.36143020655256,112.8635971257716,False,False,False,4,5,4,4,bright,corners_expected_ids,perspective_corners,4,preprocessed\final_gray\alicate_corte\001.png,train
alicate_corte,002.jpg,alicate_corte\002.jpg,ok,,,27.832364553679977,110.80802662037037,False,False,False,4,5,4,4,dark,corners_expected_ids,perspective_corners,4,preprocessed\final_gray\alicate_corte\002.png,test
alicate_corte,003.jpg,alicate_corte\003.jpg,ok,,,27.592385645033364,110.55809847608025,False,False,False,4,6,4,4,clahe,corners_expected_ids,perspective_corners,4,preprocessed\final_gray\alicate_corte\003.png,train
alicate_corte,004.jpg,alicate_corte\004.jpg,ok,,,27.36133924891166,107.78950761959877,False,False,False,4,4,4,4,bright,corners_expected_ids,perspective_corners,4,preprocessed\final_gray\alicate_corte\004.png,train
alicate_corte,005.jpg,alicate_corte\005.jpg,ok,,,28.7410891004251,108.79819444444445,False,False,False,4,6,4,4,gray,corners_expected_ids,perspective_corners,4,preprocessed\final_gray\alicate_corte\005.png,val
alicate_corte,006.jpg,alicate_corte\006.jpg,ok,,,27.742317445252137,110.74434510030864,False,False,False,4,5,4,4,dark,corners_expected_ids,perspective_corners,4,preprocessed\final_gray\alicate_corte\006.png,train
alicate_corte,007.jpg,alicate_corte\007.jpg,ok,,,27.75557193496813,110.37566599151235,False,False,False,4,5,4,4,bright,corners_expected_ids,perspective_corners,4,preprocessed\final_gray\alicate_corte\007.png,train
alicate_corte,008.jpg,alicate_corte\008.jpg,ok,,,27.79750461721026,110.26588831018519,False,False,False,4,5,4,4,gray,corners_expected_ids,perspective_corners,4,preprocessed\final_gray\alicate_corte\008.png,train
alicate_corte,009.jpg,alicate_corte\009.jpg,ok,,,27.73781306878491,109.01149932484567,False,False,False,4,4,4,4,bright,corners_expected_ids,perspective_corners,4,preprocessed\final_gray\alicate_corte\009.png,val
alicate_corte,010.jpg,alicate_corte\010.jpg,ok,,,27.412470154930503,107.12276041666667,False,False,False,4,5,4,4,clahe,corners_expected_ids,perspective_corners,4,preprocessed\final_gray\alicate_corte\010.png,train
alicate_corte,011.jpg,alicate_corte\011.jpg,ok,,,27.39784318989965,107.4030256558642,False,False,False,4,4,4,4,gray,corners_expected_ids,perspective_corners,4,preprocessed\final_gray\alicate_corte\011.png,train
alicate_corte,012.jpg,alicate_corte\012.jpg,ok,,,27.53699004592419,108.95035252700617,False,False,False,4,5,4,4,bright,corners_expected_ids,perspective_corners,4,preprocessed\final_gray\alicate_corte\012.png,train
